event_order,match_id,uefa_match_id,season,kickoff_utc,competition,round,source_round,tie_id,leg_number,is_knockout,is_tie_decider,is_single_match_tie,stage,home_team_id,away_team_id,home_team_name,away_team_name,is_neutral
1,UEFA-2049556,2049556,2026/27,2026-09-08T16:45:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50043,AO-UEFA-52683,Club Brugge,Aston Villa,False
2,UEFA-2049558,2049558,2026/27,2026-09-08T16:45:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50129,AO-UEFA-63405,AEK Athens,LASK,False
3,UEFA-2049553,2049553,2026/27,2026-09-08T19:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50051,AO-UEFA-50138,Real Madrid,Inter,False
4,UEFA-2049554,2049554,2026/27,2026-09-08T19:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52758,AO-UEFA-70691,B. Dortmund,Villarreal,False
5,UEFA-2049555,2049555,2026/27,2026-09-08T19:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50064,AO-UEFA-52919,Porto,Man City,False
6,UEFA-2049557,2049557,2026/27,2026-09-08T19:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-75797,AO-UEFA-52265,Lille,Real Betis,False
7,UEFA-2049561,2049561,2026/27,2026-09-09T16:45:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50080,AO-UEFA-52749,Barcelona,Feyenoord,False
8,UEFA-2049564,2049564,2026/27,2026-09-09T16:45:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50107,AO-UEFA-52319,Stuttgart,Viking,False
9,UEFA-2049559,2049559,2026/27,2026-09-09T19:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52747,AO-UEFA-52797,Paris,S. Bratislava,False
10,UEFA-2049560,2049560,2026/27,2026-09-09T19:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-7889,AO-UEFA-50124,Liverpool,Atleti,False
