country_code,source_team_id,source_club_key,source_team_name,ao_club_id,identity_method,identity_score,runner_up_score,identity_ambiguous
ALB,133977,THESPORTSDB:133977,Skenderbeu,,NO_AO_COUNTERPART,0.3846153846153846,0.2666666666666666,False
ALB,134104,THESPORTSDB:134104,Flamurtari Vlorë,,NO_AO_COUNTERPART,0.4375,0.4324324324324324,False
ALB,134349,THESPORTSDB:134349,Laci,,NO_AO_COUNTERPART,0.8571428571428571,0.5,False
ALB,137800,THESPORTSDB:137800,KF Vllaznia Shkodër,,NO_AO_COUNTERPART,0.9142857142857144,0.4615384615384615,False
ALB,137802,THESPORTSDB:137802,KF Bylis,,NO_AO_COUNTERPART,0.6666666666666666,0.4705882352941176,False
ALB,140090,THESPORTSDB:140090,Apolonia,,NO_AO_COUNTERPART,0.5,0.4285714285714285,False
ALB,140091,THESPORTSDB:140091,Kastrioti,,NO_AO_COUNTERPART,0.4444444444444444,0.4,False
ALB,140663,THESPORTSDB:140663,Besa Kavajë,,NO_AO_COUNTERPART,0.375,0.3333333333333333,False
ALB,140664,THESPORTSDB:140664,Besëlidhja,,NO_AO_COUNTERPART,0.375,0.3529411764705882,False
ALB,140669,THESPORTSDB:140669,Erzeni,,NO_AO_COUNTERPART,0.5333333333333333,0.4615384615384615,False
ALB,140670,THESPORTSDB:140670,Korabi,,NO_AO_COUNTERPART,0.4615384615384615,0.4,False
ALB,140674,THESPORTSDB:140674,Pogradeci,,NO_AO_COUNTERPART,0.4444444444444444,0.375,False
ALB,140675,THESPORTSDB:140675,Tomori,,NO_AO_COUNTERPART,0.4,0.3529411764705882,False
ALB,140678,THESPORTSDB:140678,Vora,,NO_AO_COUNTERPART,0.4,0.3529411764705882,False
ALB,147403,THESPORTSDB:147403,AF Elbasani,,NO_AO_COUNTERPART,0.5555555555555556,0.4,False
ALB,152587,THESPORTSDB:152587,Iliria Fushë-Krujë,,NO_AO_COUNTERPART,0.4705882352941176,0.358974358974359,False
ALB,AO:AO-UEFA-2604186,AO_CANONICAL:AO-UEFA-2604186,Kukesi,AO-UEFA-2604186,EXACT_NAME,1.0,1.0,False
ALB,AO:AO-UEFA-50049,AO_CANONICAL:AO-UEFA-50049,SK Tirana,AO-UEFA-50049,EXACT_NAME,1.0,1.0,False
ALB,AO:AO-UEFA-52792,AO_CANONICAL:AO-UEFA-52792,Dinamo Tirana,AO-UEFA-52792,EXACT_NAME,1.0,1.0,False
ALB,AO:AO-UEFA-52876,AO_CANONICAL:AO-UEFA-52876,Partizani,AO-UEFA-52876,EXACT_NAME,1.0,1.0,False
ALB,AO:AO-UEFA-59316,AO_CANONICAL:AO-UEFA-59316,KS Teuta,AO-UEFA-59316,EXACT_NAME,1.0,1.0,False
ALB,AO:AO-UEFA-88148,AO_CANONICAL:AO-UEFA-88148,Egnatia,AO-UEFA-88148,EXACT_NAME,1.0,1.0,False
ARM,137891,THESPORTSDB:137891,Lori,,NO_AO_COUNTERPART,0.3076923076923077,0.25,False
